Испытание; 
Время;10:23:20
Оператор;программист Скориков И.А.
Серийный номер;123
Наименование;562.000.000.00
Максимальная длина;378
Минимальная длина;263
Скорость;0.105
Мин усилие сжатия;20
Макс усилие сжатия;700
Мин усилие отбоя;50
Макс усилие отбоя;700
Выталкивающая сила; -1
Макс температура;24.0
Усилие;Перемещение
67,3;2
67,3;2
67,3;1
67,2;0
67,2;0
67,2;-2
67,1;-2
67,1;-3
67,1;-4
67,0;-4
67,0;-5
67,0;-5
67,0;-6
66,9;-6
66,9;-7
66,9;-7
66,8;-8
66,8;-8
66,8;-9
66,7;-9
66,7;-10
66,7;-10
66,7;-11
66,6;-11
66,6;-12
66,6;-12
66,5;-12
66,5;-12
66,4;-13
66,4;-14
66,4;-14
66,4;-14
66,3;-15
66,3;-15
66,3;-15
66,2;-16
66,2;-16
66,2;-16
66,1;-17
66,1;-17
66,1;-17
66,0;-18
66,0;-18
66,0;-19
65,9;-19
65,9;-19
65,9;-19
65,8;-19
65,8;-20
65,8;-20
65,7;-21
65,7;-21
65,7;-22
65,6;-22
65,6;-22
65,5;-23
65,5;-23
65,5;-23
65,4;-23
65,4;-24
65,3;-25
65,2;-26
65,2;-25
65,2;-26
65,1;-26
65,1;-26
65,0;-27
65,0;-28
64,9;-28
64,9;-28
64,8;-29
64,8;-29
64,7;-30
64,7;-30
64,7;-30
64,6;-30
64,6;-30
64,5;-31
64,4;-32
64,4;-33
64,4;-33
64,3;-33
64,3;-33
64,2;-33
64,2;-34
64,1;-34
64,1;-34
64,1;-34
64,0;-34
64,0;-35
63,9;-35
63,9;-35
63,9;-35
63,8;-36
63,8;-36
63,7;-36
63,7;-37
63,6;-37
63,6;-38
63,5;-38
63,4;-39
63,4;-39
63,3;-39
63,3;-39
63,2;-39
63,1;-40
63,1;-40
63,1;-41
63,0;-41
62,9;-41
62,9;-42
62,8;-43
62,7;-43
62,7;-43
62,6;-44
62,6;-44
62,6;-44
62,5;-44
62,5;-45
62,4;-45
62,4;-45
62,3;-45
62,3;-45
62,2;-46
62,2;-47
62,1;-46
62,0;-47
62,0;-48
62,0;-47
61,9;-48
61,9;-47
61,8;-48
61,7;-49
61,6;-49
61,6;-49
61,6;-50
61,5;-50
61,4;-50
61,3;-51
61,3;-51
61,2;-51
61,2;-51
61,1;-51
61,1;-52
61,0;-52
61,0;-53
61,0;-53
60,9;-53
60,9;-53
60,8;-53
60,8;-54
60,7;-53
60,7;-53
60,6;-54
60,6;-54
60,5;-55
60,5;-55
60,4;-55
60,4;-55
60,3;-55
60,3;-55
60,2;-55
60,2;-56
60,2;-56
60,1;-56
60,0;-56
60,0;-56
59,9;-57
59,9;-57
59,8;-58
59,8;-58
59,7;-58
59,7;-59
59,6;-59
59,6;-59
59,5;-59
59,4;-60
59,4;-60
59,3;-60
59,3;-60
59,2;-60
59,1;-61
59,1;-61
59,0;-62
59,0;-62
58,9;-62
58,9;-62
58,8;-63
58,7;-63
58,7;-64
58,6;-64
58,6;-64
58,5;-64
58,5;-64
58,4;-64
58,4;-64
58,3;-65
58,2;-66
58,2;-66
58,1;-66
58,0;-66
58,0;-66
57,9;-67
57,9;-67
57,8;-68
57,8;-68
57,7;-69
57,6;-69
57,6;-69
57,5;-70
57,4;-70
57,4;-70
57,3;-71
57,2;-71
57,1;-72
57,0;-73
57,0;-73
56,9;-74
56,8;-74
56,7;-76
56,7;-75
56,6;-75
56,6;-75
56,5;-76
56,4;-77
56,3;-78
56,3;-78
56,2;-78
56,2;-78
56,1;-79
56,1;-79
56,0;-79
56,0;-80
55,9;-81
55,9;-81
55,7;-81
55,7;-83
55,6;-82
55,5;-83
55,5;-84
55,4;-84
55,4;-84
55,3;-84
55,2;-86
55,2;-86
55,1;-86
55,1;-86
55,0;-86
55,0;-86
54,9;-87
54,8;-87
54,8;-88
54,7;-88
54,6;-88
54,6;-88
54,5;-89
54,4;-89
54,3;-90
54,2;-90
54,1;-90
54,0;-90
53,9;-91
53,9;-91
53,8;-92
53,8;-92
53,7;-93
53,6;-93
53,6;-93
53,5;-93
53,5;-93
53,4;-93
53,4;-93
53,3;-93
53,2;-94
53,1;-94
53,1;-94
53,0;-95
52,9;-95
52,9;-95
52,8;-95
52,8;-96
52,7;-95
52,6;-96
52,6;-96
52,5;-97
52,5;-96
52,4;-97
52,3;-97
52,2;-98
52,2;-98
52,1;-97
52,1;-97
52,0;-98
51,9;-98
51,9;-98
51,8;-99
51,7;-99
51,6;-99
51,5;-100
51,5;-99
51,3;-100
51,3;-100
51,2;-101
51,1;-100
51,0;-100
51,0;-101
50,9;-101
50,8;-102
50,7;-102
50,6;-102
50,5;-102
50,4;-102
50,3;-102
50,2;-104
50,1;-103
50,1;-103
50,0;-103
49,9;-104
49,9;-103
49,8;-103
49,7;-104
49,6;-104
49,5;-104
49,5;-105
49,4;-105
49,3;-104
49,3;-105
49,2;-105
49,1;-104
49,1;-104
49,0;-105
49,0;-105
48,9;-105
48,8;-106
48,7;-106
48,7;-106
48,6;-106
48,5;-106
48,4;-106
48,3;-105
48,3;-106
48,2;-106
48,2;-106
48,1;-106
48,0;-106
47,9;-107
47,8;-107
47,7;-107
47,7;-107
47,6;-107
47,5;-108
47,5;-108
47,4;-108
47,4;-109
47,3;-109
47,2;-109
47,1;-108
47,0;-108
47,0;-108
46,9;-109
46,8;-107
46,7;-109
46,7;-109
46,6;-110
46,5;-109
46,5;-108
46,4;-109
46,4;-110
46,3;-110
46,2;-109
46,2;-110
46,0;-109
46,0;-109
45,9;-109
45,8;-110
45,8;-110
45,7;-110
45,7;-111
45,6;-111
45,5;-111
45,4;-111
45,3;-111
45,3;-111
45,2;-112
45,2;-112
45,0;-112
45,0;-111
44,9;-111
44,8;-111
44,7;-110
44,6;-111
44,5;-112
44,4;-111
44,3;-111
44,3;-111
44,1;-110
44,1;-110
44,0;-110
44,0;-110
43,9;-110
